gene_id	chr	start	end	strand	size	locus_tag	gene_name	biotype	description
LINF_010009300	LinJ.01	104660	105262	+	603	LINF_010009300	-	protein_coding	ribosomal protein S7 - putative
LINF_010009400	LinJ.01	106134	108368	+	2235	LINF_010009400	-	protein_coding	Ring finger domain/Zn-finger in ubiquitin-hydrolases and other protein - putative
LINF_010009500	LinJ.01	109697	111463	+	1767	LINF_010009500	-	protein_coding	Protein of unknown function (DUF791) - putative
LINF_010009600	LinJ.01	114424	115080	+	657	LINF_010009600	PNC1	protein_coding	nicotinamidase - putative
LINF_010009700	LinJ.01	117138	121772	+	4635	LINF_010009700	-	protein_coding	conserved protein
LINF_010009800	LinJ.01	125902	127992	+	2091	LINF_010009800	-	protein_coding	long-chain-fatty-acid-CoA ligase - putative
LINF_010009900	LinJ.01	128823	129902	+	1080	LINF_010009900	-	protein_coding	beta eliminating lyase -putative
LINF_010010000	LinJ.01	131641	133737	+	2097	LINF_010010000	-	protein_coding	long-chain-fatty-acid-CoA ligase - putative
LINF_010010100	LinJ.01	134852	136975	+	2124	LINF_010010100	-	protein_coding	long-chain-fatty-acid-CoA ligase - putative
LINF_010010200	LinJ.01	140316	140555	+	240	LINF_010010200	-	protein_coding	fatty acyl CoA synthetase 2 - putative
LINF_010010300	LinJ.01	141480	143627	+	2148	LINF_010010300	-	protein_coding	long-chain-fatty-acid-CoA ligase - putative
LINF_010010400	LinJ.01	147251	152107	+	4857	LINF_010010400	-	protein_coding	long-chain-fatty-acid-CoA ligase - putative
LINF_010010500	LinJ.01	153104	155149	+	2046	LINF_010010500	-	protein_coding	hypothetical protein - conserved
LINF_010010600	LinJ.01	156610	157716	+	1107	LINF_010010600	-	protein_coding	hypothetical protein - conserved
LINF_010010700	LinJ.01	158783	160651	+	1869	LINF_010010700	-	protein_coding	pre-mRNA processing factor 3 (PRP3)/Protein of unknown function (DUF1115) - putative
LINF_010010800	LinJ.01	161265	162245	+	981	LINF_010010800	-	protein_coding	tricarboxylate carrier - putative
LINF_010010900	LinJ.01	162937	165831	+	2895	LINF_010010900	-	protein_coding	hypothetical protein - conserved
LINF_010011000	LinJ.01	166851	168125	+	1275	LINF_010011000	-	protein_coding	KREL1
LINF_010011100	LinJ.01	169190	174643	+	5454	LINF_010011100	-	protein_coding	Rab-GTPase-TBC domain containing protein - putative
LINF_010011200	LinJ.01	175625	176356	+	732	LINF_010011200	-	protein_coding	DNA-damage inducible protein DDI1-like protein
LINF_010011300	LinJ.01	176985	178757	+	1773	LINF_010011300	-	protein_coding	hypothetical protein - conserved
LINF_010011400	LinJ.01	181105	183228	+	2124	LINF_010011400	-	protein_coding	hypothetical protein - conserved
LINF_010011500	LinJ.01	184800	188135	+	3336	LINF_010011500	-	protein_coding	HSP70-like protein
LINF_010011600	LinJ.01	189091	190575	+	1485	LINF_010011600	MPPB	protein_coding	metallo-peptidase - Clan ME - Family M16
LINF_010011700	LinJ.01	191969	196465	+	4497	LINF_010011700	-	protein_coding	hypothetical protein - conserved
LINF_010011800	LinJ.01	197459	198367	+	909	LINF_010011800	-	protein_coding	hypothetical protein - conserved
LINF_010011900	LinJ.01	202489	204894	+	2406	LINF_010011900	-	protein_coding	hypothetical protein - conserved
LINF_010012000	LinJ.01	206794	207495	+	702	LINF_010012000	-	protein_coding	PLAC8 family - putative
LINF_010012100	LinJ.01	210432	211493	+	1062	LINF_010012100	-	protein_coding	PLAC8 family - putative
LINF_010012200	LinJ.01	213790	215409	+	1620	LINF_010012200	-	protein_coding	ubiquitin activating enzyme - putative
LINF_010012300	LinJ.01	216040	220872	+	4833	LINF_010012300	-	protein_coding	hypothetical protein - conserved
LINF_010012400	LinJ.01	222098	228886	+	6789	LINF_010012400	mks6	protein_coding	Meckel syndrome type 6 protein - putative
LINF_010012500	LinJ.01	229670	231934	+	2265	LINF_010012500	-	protein_coding	hypothetical protein - conserved
LINF_010012600	LinJ.01	233466	237713	+	4248	LINF_010012600	-	protein_coding	protein kinase - putative
LINF_010012700	LinJ.01	238289	239311	+	1023	LINF_010012700	-	protein_coding	hypothetical protein - conserved
LINF_010012800	LinJ.01	240165	241376	+	1212	LINF_010012800	EIF4A1	protein_coding	eukaryotic initiation factor 4a - putative
LINF_010012900	LinJ.01	243452	244663	+	1212	LINF_010012900	EIF4A1	protein_coding	eukaryotic initiation factor 4a - putative
LINF_010013000	LinJ.01	246809	248401	+	1593	LINF_010013000	-	protein_coding	hypothetical protein - conserved
LINF_010013100	LinJ.01	250512	251984	+	1473	LINF_010013100	-	protein_coding	hypothetical protein - conserved
LINF_010013200	LinJ.01	253431	256484	+	3054	LINF_010013200	-	protein_coding	calcium/potassium channel (CAKC) - putative
LINF_010013300	LinJ.01	257855	261553	+	3699	LINF_010013300	-	protein_coding	potassium channel subunit-like protein
LINF_020005000	LinJ.02	3395	5842	-	2448	LINF_020005000	-	protein_coding	phosphoglycan beta 1%2C3 galactosyltransferase 6
LINF_020005100	LinJ.02	7751	8053	-	303	LINF_020005100	-	protein_coding	histone H4
LINF_020005200	LinJ.02	8897	9517	-	621	LINF_020005200	-	protein_coding	tagatose-6-phosphate kinase-like protein
LINF_020005300	LinJ.02	10679	12538	-	1860	LINF_020005300	-	protein_coding	aminopeptidase P1 - putative
LINF_020005400	LinJ.02	17547	18203	-	657	LINF_020005400	-	protein_coding	cytochrome b-domain protein - putative
LINF_020005500	LinJ.02	18850	19428	-	579	LINF_020005500	-	protein_coding	hypothetical protein - conserved
LINF_020005600	LinJ.02	20044	21237	-	1194	LINF_020005600	-	protein_coding	hypothetical protein - conserved
LINF_020005700	LinJ.02	23320	26301	-	2982	LINF_020005700	-	protein_coding	hypothetical protein - conserved
LINF_020005800	LinJ.02	27895	28839	-	945	LINF_020005800	-	protein_coding	hypothetical protein - conserved
LINF_020005900	LinJ.02	30149	31213	-	1065	LINF_020005900	-	protein_coding	hypothetical protein - conserved
LINF_020006000	LinJ.02	33908	36835	-	2928	LINF_020006000	-	protein_coding	hypothetical protein - conserved
LINF_020006100	LinJ.02	38917	42417	-	3501	LINF_020006100	-	protein_coding	tRNA exportin - putative
LINF_020006200	LinJ.02	44234	58954	-	14721	LINF_020006200	-	protein_coding	phosphatidylinositol kinase related protein - putative
LINF_020006300	LinJ.02	60504	61223	-	720	LINF_020006300	-	protein_coding	Zinc-finger of C2H2 type - putative
LINF_020006400	LinJ.02	62123	64810	-	2688	LINF_020006400	-	protein_coding	Ankyrin repeats (many copies)/Ankyrin repeats (3 copies)/Zinc finger - C3HC4 type (RING finger) containing protein - putativ
LINF_020006500	LinJ.02	66104	72016	-	5913	LINF_020006500	-	protein_coding	Vps51/Vps67 - putative
LINF_020006700	LinJ.02	79711	82164	-	2454	LINF_020006700	SCGR6	protein_coding	phosphoglycan beta 1 -3 galactosyltransferase
LINF_020006800	LinJ.02	86347	88779	-	2433	LINF_020006800	SCGR5	protein_coding	phosphoglycan beta 1 -3 galactosyltransferase
LINF_020006900	LinJ.02	90963	92927	-	1965	LINF_020006900	SCGR4	protein_coding	phosphoglycan beta 1 -3 galactosyltransferase
LINF_020007000	LinJ.02	99643	101961	-	2319	LINF_020007000	SCGR3	protein_coding	phosphoglycan beta 1 -3 galactosyltransferase
LINF_020007100	LinJ.02	104398	106989	-	2592	LINF_020007100	SCGR2	protein_coding	phosphoglycan beta 1 -3 galactosyltransferase
LINF_020007200	LinJ.02	110603	112945	-	2343	LINF_020007200	SCA1	protein_coding	phosphoglycan beta 1 -2 arabinosyltransferase
LINF_020007300	LinJ.02	114421	117402	-	2982	LINF_020007300	SCGR1	protein_coding	phosphoglycan beta 1 -3 galactosyltransferase
LINF_020007400	LinJ.02	119608	122316	-	2709	LINF_020007400	-	protein_coding	Glycosyltransferase (GlcNAc) - putative
LINF_020007500	LinJ.02	123983	127423	-	3441	LINF_020007500	-	protein_coding	hypothetical protein - conserved
LINF_020007600	LinJ.02	128915	129739	-	825	LINF_020007600	-	protein_coding	small GTP binding protein rab6-like protein
LINF_020007700	LinJ.02	131272	131466	-	195	LINF_020007700	-	protein_coding	hypothetical protein - conserved
LINF_020007800	LinJ.02	133544	134053	-	510	LINF_020007800	-	protein_coding	hypothetical protein - conserved
LINF_020007900	LinJ.02	134937	136529	-	1593	LINF_020007900	-	protein_coding	NIMA/Nek Serine/threonine-protein kinase family - putative
LINF_020008000	LinJ.02	145478	149221	-	3744	LINF_020008000	-	protein_coding	ATP-binding cassette subfamily A - member 1 - putative
LINF_020008100	LinJ.02	153058	155130	-	2073	LINF_020008100	-	protein_coding	Soluble NSF attachment protein - SNAP - putative
LINF_020008200	LinJ.02	156282	157256	-	975	LINF_020008200	RRP41B	protein_coding	RNase PH-like protein - putative
LINF_020008300	LinJ.02	157928	162544	-	4617	LINF_020008300	-	protein_coding	glycosyl transferase - putative
LINF_020008400	LinJ.02	163783	166701	-	2919	LINF_020008400	-	protein_coding	EamA-like transporter family/Triose-phosphate Transporter family/UAA transporter family - putative
LINF_020008500	LinJ.02	167864	171049	-	3186	LINF_020008500	-	protein_coding	hypothetical protein - conserved
LINF_020008600	LinJ.02	172810	173955	-	1146	LINF_020008600	-	protein_coding	casein kinase II - alpha chain - putative
LINF_020008700	LinJ.02	175540	177129	-	1590	LINF_020008700	-	protein_coding	proteasome regulatory non-ATPase subunit 6 - putative
LINF_020008800	LinJ.02	178188	179561	-	1374	LINF_020008800	-	protein_coding	FtsJ-like methyltransferase - putative
LINF_020008900	LinJ.02	180883	181341	-	459	LINF_020008900	-	protein_coding	ubiquitin-conjugating enzyme E2 - putative
LINF_020009100	LinJ.02	182776	185856	-	3081	LINF_020009100	KREPA1	protein_coding	Mitochondrial protein 81
LINF_020009200	LinJ.02	188531	191590	-	3060	LINF_020009200	-	protein_coding	hypothetical protein - conserved
LINF_020009300	LinJ.02	195453	196565	-	1113	LINF_020009300	-	protein_coding	serine peptidase - Clan S- - family S54 - putative
LINF_020009700	LinJ.02	202759	203592	-	834	LINF_020009700	-	protein_coding	voltage-dependent anion-selective channel - putative
LINF_020009800	LinJ.02	207733	208608	-	876	LINF_020009800	VDAC	protein_coding	voltage-dependent anion-selective channel - putative
LINF_020009900	LinJ.02	209832	219395	-	9564	LINF_020009900	-	protein_coding	hypothetical protein - conserved
LINF_020010000	LinJ.02	222245	222850	-	606	LINF_020010000	-	protein_coding	hypothetical protein - conserved
LINF_020010100	LinJ.02	223697	225826	-	2130	LINF_020010100	-	protein_coding	hypothetical protein - conserved
LINF_020010200	LinJ.02	227787	230636	-	2850	LINF_020010200	-	protein_coding	glycerate kinase - putative
LINF_020010300	LinJ.02	231992	232504	-	513	LINF_020010300	-	protein_coding	hypothetical protein - conserved
LINF_020010400	LinJ.02	234105	240380	-	6276	LINF_020010400	-	protein_coding	hypothetical protein - conserved
LINF_020010500	LinJ.02	235340	235431	+	92	LINF_020010500	-	tRNA	anticodon:gacgac|aaVal
LINF_020010600	LinJ.02	246697	249288	-	2592	LINF_020010600	-	protein_coding	hypothetical protein - conserved
LINF_020010700	LinJ.02	250689	251669	-	981	LINF_020010700	-	protein_coding	hypothetical protein - conserved
LINF_020010800	LinJ.02	254036	254527	-	492	LINF_020010800	-	protein_coding	hypothetical protein - conserved
LINF_020010900	LinJ.02	255627	258170	-	2544	LINF_020010900	-	protein_coding	hypothetical protein - conserved
LINF_020011000	LinJ.02	261675	265946	-	4272	LINF_020011000	-	protein_coding	protein kinase - putative
LINF_020011100	LinJ.02	298221	309587	+	11367	LINF_020011100	-	protein_coding	hypothetical protein - conserved
LINF_020011200	LinJ.02	310402	311937	+	1536	LINF_020011200	-	protein_coding	TPR repeat/Tetratricopeptide repeat - putative
LINF_020011300	LinJ.02	312988	313620	+	633	LINF_020011300	-	protein_coding	ARP2/3 complex subunit - putative
LINF_020011400	LinJ.02	315192	316157	+	966	LINF_020011400	-	protein_coding	hypothetical protein - conserved
LINF_020011500	LinJ.02	317349	319052	+	1704	LINF_020011500	-	protein_coding	hypothetical protein - conserved
LINF_020011600	LinJ.02	320082	322061	+	1980	LINF_020011600	-	protein_coding	gamma-glutamyl phosphate reductase-like protein
LINF_020011700	LinJ.02	323555	327799	+	4245	LINF_020011700	-	protein_coding	hypothetical protein - conserved
LINF_020011800	LinJ.02	328329	329276	+	948	LINF_020011800	-	protein_coding	hypothetical protein - conserved
LINF_020011900	LinJ.02	330183	332915	+	2733	LINF_020011900	-	protein_coding	Nop14-like family - putative
LINF_020012000	LinJ.02	333812	334753	+	942	LINF_020012000	-	protein_coding	mitochondrial carrier protein - putative
LINF_020012100	LinJ.02	336793	337371	+	579	LINF_020012100	-	protein_coding	hypothetical protein
LINF_020012200	LinJ.02	338308	339672	+	1365	LINF_020012200	-	protein_coding	hypothetical protein - conserved
LINF_020012300	LinJ.02	340458	343268	+	2811	LINF_020012300	-	protein_coding	hypothetical protein - conserved
LINF_020012400	LinJ.02	344985	347438	+	2454	LINF_020012400	-	protein_coding	Heat shock protein 100 kDa
LINF_020012430	LinJ.02	348523	348765	+	243	LINF_020012430	-	protein_coding	hypothetical protein%2C unknown function
LINF_020012460	LinJ.02	349947	350492	+	546	LINF_020012460	-	protein_coding	dehydrogenase/oxidoreductase-like protein
LINF_030005000	LinJ.03	1189	4218	-	3030	LINF_030005000	-	protein_coding	Leucine rich repeat/Leucine Rich Repeat - putative
LINF_030005100	LinJ.03	5500	6306	+	807	LINF_030005100	-	protein_coding	hypothetical protein - conserved
LINF_030005200	LinJ.03	7036	8259	+	1224	LINF_030005200	-	protein_coding	D-3-phosphoglycerate dehydrogenase-like protein
LINF_030005300	LinJ.03	9198	10343	+	1146	LINF_030005300	-	protein_coding	2-aminoethylphosphonate:pyruvateaminotransferase-like protein
LINF_030005400	LinJ.03	13324	14496	+	1173	LINF_030005400	-	protein_coding	Met-10+ like-protein/Methyltransferase small domain/Methyltransferase domain containing protein - putative
LINF_030005500	LinJ.03	15347	17848	+	2502	LINF_030005500	-	protein_coding	hypothetical protein - conserved
LINF_030005600	LinJ.03	18578	20464	+	1887	LINF_030005600	GAT	protein_coding	glycerol-3-phosphate acyl transferase
LINF_030005700	LinJ.03	21719	23422	+	1704	LINF_030005700	pril	protein_coding	DNA primase large subunit - putative
LINF_030005800	LinJ.03	24882	25376	+	495	LINF_030005800	-	protein_coding	cytochrome c oxidase assembly protein - putative
LINF_030005900	LinJ.03	26679	29354	+	2676	LINF_030005900	-	protein_coding	hypothetical protein - conserved
LINF_030006000	LinJ.03	30102	32879	+	2778	LINF_030006000	-	protein_coding	Leucine Rich Repeat - putative
LINF_030006100	LinJ.03	33825	34373	+	549	LINF_030006100	-	protein_coding	acetyltransferase - putative
LINF_030006200	LinJ.03	35249	35668	+	420	LINF_030006200	-	protein_coding	hypothetical protein - conserved
LINF_030006300	LinJ.03	36906	37841	+	936	LINF_030006300	-	protein_coding	hypothetical protein - conserved
LINF_030006400	LinJ.03	38711	40885	+	2175	LINF_030006400	ABCF1	protein_coding	ATP-binding cassette protein subfamily F - member 1 - putative
LINF_030006500	LinJ.03	41874	42449	+	576	LINF_030006500	-	protein_coding	hypothetical protein - conserved
LINF_030006600	LinJ.03	43048	44922	+	1875	LINF_030006600	-	protein_coding	zinc-finger of acetyl-transferase ESCO - putative
LINF_030006700	LinJ.03	45824	46456	+	633	LINF_030006700	-	protein_coding	U2 splicing auxiliary factor - putative
LINF_030006800	LinJ.03	47999	49681	+	1683	LINF_030006800	-	protein_coding	delta-1-pyrroline-5-carboxylate dehydrogenase - putative
LINF_030006900	LinJ.03	51461	52600	+	1140	LINF_030006900	-	protein_coding	protein kinase - putative
LINF_030007000	LinJ.03	53692	54633	+	942	LINF_030007000	-	protein_coding	hypothetical protein - conserved
LINF_030007100	LinJ.03	55567	57681	+	2115	LINF_030007100	-	protein_coding	long-chain-fatty-acid-CoA ligase - putative
LINF_030007200	LinJ.03	60825	61289	+	465	LINF_030007200	-	protein_coding	hypothetical protein - conserved
LINF_030007300	LinJ.03	61907	62158	+	252	LINF_030007300	-	protein_coding	ribosomal protein L38 - putative
LINF_030007400	LinJ.03	63466	64374	+	909	LINF_030007400	-	protein_coding	hypothetical protein - conserved
LINF_030007500	LinJ.03	66063	74549	+	8487	LINF_030007500	-	protein_coding	Apolipoprotein A1/A4/E domain containing protein - putative
LINF_030007600	LinJ.03	75418	78423	+	3006	LINF_030007600	-	protein_coding	hypothetical protein - conserved
LINF_030007900	LinJ.03	84864	91082	+	6219	LINF_030007900	-	protein_coding	hypothetical protein - conserved
LINF_030008000	LinJ.03	92094	95225	+	3132	LINF_030008000	-	protein_coding	hypothetical protein - conserved
LINF_030008100	LinJ.03	96441	98333	+	1893	LINF_030008100	-	protein_coding	hypothetical protein - conserved
LINF_030008200	LinJ.03	99209	100237	+	1029	LINF_030008200	-	protein_coding	DDRGK domain containing protein - putative
LINF_030008300	LinJ.03	101393	105934	+	4542	LINF_030008300	-	protein_coding	protein kinase - putative
LINF_030008400	LinJ.03	110088	115043	+	4956	LINF_030008400	-	protein_coding	hypothetical protein - conserved
LINF_030008500	LinJ.03	118674	119606	+	933	LINF_030008500	-	protein_coding	GPR1/FUN34/yaaH family - putative
LINF_030008600	LinJ.03	122053	123165	+	1113	LINF_030008600	-	protein_coding	GPR1/FUN34/yaaH family - putative
LINF_030008650	LinJ.03	126402	127172	+	771	LINF_030008650	-	protein_coding	hypothetical protein%2C conserved
LINF_030008700	LinJ.03	127953	128864	+	912	LINF_030008700	-	protein_coding	GPR1/FUN34/yaaH family - putative
LINF_030008800	LinJ.03	131963	134005	+	2043	LINF_030008800	-	protein_coding	MFS transporter - putative
LINF_030008900	LinJ.03	137121	142136	+	5016	LINF_030008900	-	protein_coding	PTP1-interacting protein - 39 kDa - putative
LINF_030009000	LinJ.03	143151	143483	+	333	LINF_030009000	-	protein_coding	60s Acidic ribosomal protein - putative
LINF_030009100	LinJ.03	144385	144720	+	336	LINF_030009100	-	protein_coding	60S acidic ribosomal protein P2 - putative
LINF_030009200	LinJ.03	145591	150666	+	5076	LINF_030009200	-	protein_coding	TLD domain protein - conserved
LINF_030009300	LinJ.03	156987	160169	+	3183	LINF_030009300	-	protein_coding	hypothetical protein - conserved
LINF_030009400	LinJ.03	162280	162555	+	276	LINF_030009400	-	protein_coding	hypothetical protein
LINF_030009500	LinJ.03	165090	167963	+	2874	LINF_030009500	-	protein_coding	hypothetical protein - conserved
LINF_030009600	LinJ.03	169478	172507	+	3030	LINF_030009600	-	protein_coding	Ankyrin repeats (3 copies)/Ankyrin repeats (many copies)/Ankyrin repeat/DHHC palmitoyltransferase - putative
LINF_030009700	LinJ.03	174272	177346	+	3075	LINF_030009700	-	protein_coding	hypothetical protein - conserved
LINF_030009800	LinJ.03	178685	180403	+	1719	LINF_030009800	-	protein_coding	phosphate-Repressible Phosphate Permease-like protein
LINF_030009900	LinJ.03	183785	191212	+	7428	LINF_030009900	-	protein_coding	hypothetical protein - conserved
LINF_030010000	LinJ.03	191939	194512	+	2574	LINF_030010000	-	protein_coding	RNA recognition motif. (a.k.a. RRM - RBD - or RNP domain) - putative
LINF_030010100	LinJ.03	196442	202576	+	6135	LINF_030010100	-	protein_coding	hypothetical protein - conserved
LINF_030010200	LinJ.03	204236	205426	+	1191	LINF_030010200	-	protein_coding	26S protease regulatory subunit - putative
LINF_030010300	LinJ.03	206907	211043	+	4137	LINF_030010300	-	protein_coding	hypothetical protein - conserved
LINF_030010400	LinJ.03	212518	214668	+	2151	LINF_030010400	-	protein_coding	hypothetical protein - conserved
LINF_030010500	LinJ.03	217427	218425	+	999	LINF_030010500	-	protein_coding	quinone oxidoreductase - putative
LINF_030010600	LinJ.03	218838	219374	+	537	LINF_030010600	-	protein_coding	hypothetical protein - conserved
LINF_030010700	LinJ.03	221241	225278	+	4038	LINF_030010700	-	protein_coding	DNA repair helicase - putative
LINF_030010800	LinJ.03	225931	227148	+	1218	LINF_030010800	-	protein_coding	arginine N-methyltransferase - putative
LINF_030010900	LinJ.03	228197	229246	+	1050	LINF_030010900	-	protein_coding	kinase-like protein
LINF_030011000	LinJ.03	230112	232139	+	2028	LINF_030011000	MP99	protein_coding	mitochondrial protein 99 - putative
LINF_030011200	LinJ.03	233765	234751	+	987	LINF_030011200	-	protein_coding	hypothetical protein - conserved
LINF_030011300	LinJ.03	235494	237320	+	1827	LINF_030011300	-	protein_coding	hypothetical protein - conserved
LINF_030011400	LinJ.03	239761	242430	+	2670	LINF_030011400	-	protein_coding	hypothetical protein - conserved
LINF_030011500	LinJ.03	244012	246408	+	2397	LINF_030011500	-	protein_coding	hypothetical protein - conserved
LINF_030011600	LinJ.03	247412	249112	+	1701	LINF_030011600	-	protein_coding	hypothetical protein - conserved
LINF_030011700	LinJ.03	259430	260290	+	861	LINF_030011700	-	protein_coding	Uroporphyrinogen-III synthase HemD - putative
LINF_030011800	LinJ.03	261697	261769	+	73	LINF_030011800	-	tRNA	anticodon:cttctt|aaLys
LINF_030011900	LinJ.03	262551	269183	-	6633	LINF_030011900	-	protein_coding	DEAD/DEAH box helicase/Type III restriction enzyme - res subunit - putative
LINF_030012000	LinJ.03	269997	278678	-	8682	LINF_030012000	-	protein_coding	hypothetical protein - conserved
LINF_030012100	LinJ.03	279569	280255	-	687	LINF_030012100	-	protein_coding	Aminoacyl-tRNA editing domain containing protein - putative
LINF_030012200	LinJ.03	280816	283455	-	2640	LINF_030012200	-	protein_coding	hypothetical protein - conserved
LINF_030012300	LinJ.03	285568	286782	-	1215	LINF_030012300	-	protein_coding	hypothetical protein - conserved
LINF_030012400	LinJ.03	287693	287947	-	255	LINF_030012400	-	protein_coding	cytochrome c oxidase copper chaperone - putative
LINF_030012500	LinJ.03	288685	290835	-	2151	LINF_030012500	-	protein_coding	TatD related DNase - putative
LINF_030012600	LinJ.03	291654	292607	-	954	LINF_030012600	-	protein_coding	hypothetical protein - conserved
LINF_030012700	LinJ.03	293362	295008	-	1647	LINF_030012700	-	protein_coding	Ubiquitin-like domain containing protein - putative
LINF_030012800	LinJ.03	295790	305305	-	9516	LINF_030012800	-	protein_coding	serine/threonine-protein kinase - putative
LINF_030012900	LinJ.03	306816	308123	-	1308	LINF_030012900	-	protein_coding	hypothetical protein - conserved
LINF_030013000	LinJ.03	308985	316166	-	7182	LINF_030013000	-	protein_coding	6-phosphofructo-2-kinase/fructose-2 -6-biphosphatase - putative
LINF_030013100	LinJ.03	317492	320773	-	3282	LINF_030013100	-	protein_coding	hypothetical protein - conserved
LINF_030013200	LinJ.03	321555	330269	-	8715	LINF_030013200	-	protein_coding	hypothetical protein - conserved
LINF_030013300	LinJ.03	331033	332892	-	1860	LINF_030013300	CEPT	protein_coding	choline/ethanolamine phosphotransferase - putative
LINF_030013400	LinJ.03	335292	336479	-	1188	LINF_030013400	-	protein_coding	hypothetical protein - conserved
