gene_id	chr	start	end	strand	size	locus_tag	gene_name	biotype	description
LmjF.01.0680	LmjF.01	198854	201256	+	2403	LmjF.01.0680	-	protein_coding	hypothetical protein%2C unknown function
LmjF.01.0690	LmjF.01	202894	203586	+	693	LmjF.01.0690	-	protein_coding	PLAC8 family%2C putative
LmjF.01.0700	LmjF.01	206309	207073	+	765	LmjF.01.0700	-	protein_coding	hypothetical protein%2C unknown function
LmjF.01.0710	LmjF.01	208464	210089	+	1626	LmjF.01.0710	-	protein_coding	ubiquitin activating enzyme%2C putative
LmjF.01.0720	LmjF.01	210558	215417	+	4860	LmjF.01.0720	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0730	LmjF.01	216579	223304	+	6726	LmjF.01.0730	mks6	protein_coding	Meckel syndrome type 6 protein%2C putative
LmjF.01.0740	LmjF.01	223998	226253	+	2256	LmjF.01.0740	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0750	LmjF.01	227560	231813	+	4254	LmjF.01.0750	-	protein_coding	CMGC family protein kinase%2C putative
LmjF.01.0760	LmjF.01	232419	233438	+	1020	LmjF.01.0760	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0770	LmjF.01	234392	235603	+	1212	LmjF.01.0770	EIF4A1	protein_coding	Eukaryotic initiation factor 4A-1
LmjF.01.0780	LmjF.01	237389	238600	+	1212	LmjF.01.0780	EIF4A1	protein_coding	Eukaryotic initiation factor 4A-1
LmjF.01.0790	LmjF.01	240769	242355	+	1587	LmjF.01.0790	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0800	LmjF.01	244534	246063	+	1530	LmjF.01.0800	-	protein_coding	hypothetical protein%2C conserved
LmjF.01.0810	LmjF.01	247550	250603	+	3054	LmjF.01.0810	-	protein_coding	calcium/potassium channel (CAKC)%2C putative
LmjF.01.0820	LmjF.01	252411	255890	+	3480	LmjF.01.0820	-	protein_coding	potassium channel subunit-like protein
LmjF.01.0830	LmjF.01	258831	260867	+	2037	LmjF.01.0830	-	protein_coding	metallo-peptidase%2C Clan MA(E)%2C Family M3
LmjF.02.0010	LmjF.02	4431	6875	-	2445	LmjF.02.0010	SCG3	protein_coding	phosphoglycan beta 1%2C3 galactosyltransferase 3
LmjF.02.0020	LmjF.02	8751	9053	-	303	LmjF.02.0020	-	protein_coding	histone H4
LmjF.02.0030	LmjF.02	9863	10846	-	984	LmjF.02.0030	-	protein_coding	tagatose-6-phosphate kinase-like protein
LmjF.02.0040	LmjF.02	11678	13537	-	1860	LmjF.02.0040	-	protein_coding	Xaa-Pro aminopeptidase%2C putative
LmjF.02.0050	LmjF.02	18849	19505	-	657	LmjF.02.0050	-	protein_coding	cytochrome b-domain protein%2C putative
LmjF.02.0060	LmjF.02	20184	20759	-	576	LmjF.02.0060	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0070	LmjF.02	21413	22606	-	1194	LmjF.02.0070	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0080	LmjF.02	24871	28179	-	3309	LmjF.02.0080	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0085	LmjF.02	28965	29888	-	924	LmjF.02.0085	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0090	LmjF.02	31234	32292	-	1059	LmjF.02.0090	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0110	LmjF.02	38538	42038	-	3501	LmjF.02.0110	-	protein_coding	exportin-T%2C putative
LmjF.02.0120	LmjF.02	43915	58632	-	14718	LmjF.02.0120	ATM	protein_coding	phosphatidylinositol kinase related protein%2C putative
LmjF.02.0130	LmjF.02	60185	60904	-	720	LmjF.02.0130	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0140	LmjF.02	61959	64646	-	2688	LmjF.02.0140	-	protein_coding	Ankyrin repeats (3 copies)/Zinc finger%2C C3HC4 type (RING finger)%2C putative
LmjF.02.0150	LmjF.02	65898	71780	-	5883	LmjF.02.0150	-	protein_coding	Vps51/Vps67%2C putative
LmjF.02.0155	LmjF.02	72164	72463	-	300	LmjF.02.0155	-	protein_coding	hypothetical protein
LmjF.02.0160	LmjF.02	77219	79672	-	2454	LmjF.02.0160	SCGR6	protein_coding	phosphoglycan beta 1%2C3 galactosyltransferase
LmjF.02.0170	LmjF.02	84201	86732	-	2532	LmjF.02.0170	SCGR5	protein_coding	phosphoglycan beta 1%2C3 galactosyltransferase
LmjF.02.0180	LmjF.02	90005	92607	-	2603	LmjF.02.0180	SCA2	protein_coding	phosphoglycan beta 1%2C2 arabinosyltransferase
LmjF.02.0190	LmjF.02	93562	97107	-	3546	LmjF.02.0190	SCGR4	protein_coding	phosphoglycan beta 1%2C3 galactosyltransferase
LmjF.02.0200	LmjF.02	99209	101749	-	2541	LmjF.02.0200	SCGR3	protein_coding	phosphoglycan beta 1%2C3 galactosyltransferase
LmjF.02.0210	LmjF.02	103804	106395	-	2592	LmjF.02.0210	SCGR2	protein_coding	phosphoglycan beta 1%2C3 galactosyltransferase
LmjF.02.0220	LmjF.02	109659	112261	-	2603	LmjF.02.0220	SCA1	protein_coding	phosphoglycan beta 1%2C2 arabinosyltransferase
LmjF.02.0230	LmjF.02	113216	116194	-	2979	LmjF.02.0230	SCGR1	protein_coding	phosphoglycan beta 1%2C3 galactosyltransferase
LmjF.02.0240	LmjF.02	118452	121487	-	3036	LmjF.02.0240	-	protein_coding	glycosyltransferase (GlcNAc)%2C putative
LmjF.02.0250	LmjF.02	122781	126218	-	3438	LmjF.02.0250	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0260	LmjF.02	127085	127909	-	825	LmjF.02.0260	-	protein_coding	small GTP binding protein rab6-like protein
LmjF.02.0270	LmjF.02	129244	129732	-	489	LmjF.02.0270	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0280	LmjF.02	131592	132101	-	510	LmjF.02.0280	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0290	LmjF.02	133019	134611	-	1593	LmjF.02.0290	NEK22	protein_coding	Serine/threonine-protein kinase NEK22%2C putative
LmjF.02.0300	LmjF.02	138486	146384	-	7899	LmjF.02.0300	ABCA1	protein_coding	ATP-binding cassette subfamily A%2C member 1%2C putative
LmjF.02.0310	LmjF.02	150192	152276	-	2085	LmjF.02.0310	-	protein_coding	Soluble NSF attachment protein%2C SNAP%2C putative
LmjF.02.0320	LmjF.02	153478	154506	-	1029	LmjF.02.0320	RRP41B	protein_coding	ribosomal RNA processing protein 41B%2C putative
LmjF.02.0330	LmjF.02	155154	159968	-	4815	LmjF.02.0330	FUT2	protein_coding	Fucosyltransferase 2%2C putative
LmjF.02.0340	LmjF.02	161011	163932	-	2922	LmjF.02.0340	-	protein_coding	UAA transporter family%2C putative
LmjF.02.0350	LmjF.02	165087	168242	-	3156	LmjF.02.0350	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0360	LmjF.02	170022	171167	-	1146	LmjF.02.0360	CK2A2	protein_coding	casein kinase II%2C alpha chain%2C putative
LmjF.02.0370	LmjF.02	172807	174390	-	1584	LmjF.02.0370	-	protein_coding	proteasome regulatory non-ATPase subunit 6%2C putative
LmjF.02.0380	LmjF.02	175517	176896	-	1380	LmjF.02.0380	-	protein_coding	FtsJ-like methyltransferase%2C putative
LmjF.02.0390	LmjF.02	178261	178719	-	459	LmjF.02.0390	-	protein_coding	ubiquitin-conjugating enzyme E2%2C putative
LmjF.02.0400	LmjF.02	179356	179523	-	168	LmjF.02.0400	-	protein_coding	hypothetical protein%2C unknown function
LmjF.02.0410	LmjF.02	180246	183311	-	3066	LmjF.02.0410	KREPA1	protein_coding	Kinetoplastid RNA editing protein 1%2C putative
LmjF.02.0420	LmjF.02	185835	188837	-	3003	LmjF.02.0420	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0430	LmjF.02	192736	193848	-	1113	LmjF.02.0430	-	protein_coding	serine peptidase%2C Clan S-%2C family S54%2C putative
LmjF.02.0450	LmjF.02	200383	201216	-	834	LmjF.02.0450	-	protein_coding	voltage-dependent anion-selective channel%2C putative
LmjF.02.0460	LmjF.02	204892	205767	-	876	LmjF.02.0460	VDAC	protein_coding	Mitochondrial outer membrane protein porin%2C putative
LmjF.02.0470	LmjF.02	207099	216566	-	9468	LmjF.02.0470	-	protein_coding	hypothetical protein%2C unknown function
LmjF.02.0480	LmjF.02	219347	219952	-	606	LmjF.02.0480	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0490	LmjF.02	220848	224228	-	3381	LmjF.02.0490	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0500	LmjF.02	224739	227600	-	2862	LmjF.02.0500	-	protein_coding	glycerate kinase%2C putative
LmjF.02.0510	LmjF.02	228900	229412	-	513	LmjF.02.0510	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0520	LmjF.02	231085	237336	-	6252	LmjF.02.0520	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0530	LmjF.02	241987	244575	-	2589	LmjF.02.0530	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0540	LmjF.02	246041	247534	-	1494	LmjF.02.0540	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0550	LmjF.02	249521	250012	-	492	LmjF.02.0550	-	protein_coding	hypothetical protein%2C unknown function
LmjF.02.0560	LmjF.02	251143	253692	-	2550	LmjF.02.0560	-	protein_coding	hypothetical protein%2C unknown function
LmjF.02.0570	LmjF.02	257218	261492	-	4275	LmjF.02.0570	-	protein_coding	protein kinase%2C putative
LmjF.02.0580	LmjF.02	298464	309800	+	11337	LmjF.02.0580	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0590	LmjF.02	310561	312108	+	1548	LmjF.02.0590	-	protein_coding	TPR repeat/Tetratricopeptide repeat%2C putative
LmjF.02.0600	LmjF.02	313168	313800	+	633	LmjF.02.0600	-	protein_coding	ARP2/3 complex subunit%2C putative
LmjF.02.0610	LmjF.02	315240	316205	+	966	LmjF.02.0610	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0620	LmjF.02	317353	319047	+	1695	LmjF.02.0620	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0630	LmjF.02	320083	322062	+	1980	LmjF.02.0630	-	protein_coding	gamma-glutamyl phosphate reductase-like protein
LmjF.02.0640	LmjF.02	323557	327786	+	4230	LmjF.02.0640	-	protein_coding	hypothetical protein%2C unknown function
LmjF.02.0650	LmjF.02	328326	329273	+	948	LmjF.02.0650	MIC32	protein_coding	MICOS complex subunit 32%2C putative
LmjF.02.0660	LmjF.02	330066	332858	+	2793	LmjF.02.0660	-	protein_coding	Nop14-like family%2C putative
LmjF.02.0670	LmjF.02	333743	334684	+	942	LmjF.02.0670	-	protein_coding	mitochondrial carrier protein%2C putative
LmjF.02.0680	LmjF.02	336154	337659	+	1506	LmjF.02.0680	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0690	LmjF.02	338291	339655	+	1365	LmjF.02.0690	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0700	LmjF.02	340367	343180	+	2814	LmjF.02.0700	-	protein_coding	hypothetical protein%2C conserved
LmjF.02.0710	LmjF.02	344949	347402	+	2454	LmjF.02.0710	-	protein_coding	ATP-dependent Clp protease subunit%2C heat shock protein 78 (HSP78)%2C putative
LmjF.02.0720	LmjF.02	348557	348799	+	243	LmjF.02.0720	-	protein_coding	hypothetical protein%2C unknown function
LmjF.02.0730	LmjF.02	349987	350373	+	387	LmjF.02.0730	-	protein_coding	dehydrogenase/oxidoreductase-like protein
LmjF.02.0740	LmjF.02	351494	353530	+	2037	LmjF.02.0740	DCP	protein_coding	dipeptylcarboxypeptidase%2C putative
LmjF.02.SLRNA.0010	LmjF.02	269834	270288	+	455	LmjF.02.SLRNA.0010	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0020	LmjF.02	270289	270743	+	455	LmjF.02.SLRNA.0020	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0030	LmjF.02	270744	271192	+	449	LmjF.02.SLRNA.0030	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0040	LmjF.02	271193	271650	+	458	LmjF.02.SLRNA.0040	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0050	LmjF.02	271651	272105	+	455	LmjF.02.SLRNA.0050	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0060	LmjF.02	272106	272560	+	455	LmjF.02.SLRNA.0060	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0070	LmjF.02	272561	273009	+	449	LmjF.02.SLRNA.0070	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0080	LmjF.02	273010	273464	+	455	LmjF.02.SLRNA.0080	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0090	LmjF.02	273465	273910	+	446	LmjF.02.SLRNA.0090	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0100	LmjF.02	273911	274352	+	442	LmjF.02.SLRNA.0100	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0110	LmjF.02	274353	274798	+	446	LmjF.02.SLRNA.0110	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0120	LmjF.02	274799	275247	+	449	LmjF.02.SLRNA.0120	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0130	LmjF.02	275248	275702	+	455	LmjF.02.SLRNA.0130	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0140	LmjF.02	275703	276148	+	446	LmjF.02.SLRNA.0140	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0150	LmjF.02	276149	276594	+	446	LmjF.02.SLRNA.0150	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0160	LmjF.02	276595	277043	+	449	LmjF.02.SLRNA.0160	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0170	LmjF.02	277044	277489	+	446	LmjF.02.SLRNA.0170	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0180	LmjF.02	277490	277931	+	442	LmjF.02.SLRNA.0180	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0190	LmjF.02	278100	278547	+	448	LmjF.02.SLRNA.0190	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0200	LmjF.02	278548	278993	+	446	LmjF.02.SLRNA.0200	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0210	LmjF.02	278994	279435	+	442	LmjF.02.SLRNA.0210	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0220	LmjF.02	279436	279877	+	442	LmjF.02.SLRNA.0220	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0230	LmjF.02	279878	280323	+	446	LmjF.02.SLRNA.0230	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0240	LmjF.02	280324	280772	+	449	LmjF.02.SLRNA.0240	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0250	LmjF.02	280773	281218	+	446	LmjF.02.SLRNA.0250	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0260	LmjF.02	281219	281664	+	446	LmjF.02.SLRNA.0260	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0270	LmjF.02	281665	282113	+	449	LmjF.02.SLRNA.0270	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0280	LmjF.02	282114	282559	+	446	LmjF.02.SLRNA.0280	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0290	LmjF.02	282560	283001	+	442	LmjF.02.SLRNA.0290	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0300	LmjF.02	283002	283450	+	449	LmjF.02.SLRNA.0300	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0310	LmjF.02	283451	283896	+	446	LmjF.02.SLRNA.0310	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0320	LmjF.02	283897	284342	+	446	LmjF.02.SLRNA.0320	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0330	LmjF.02	284343	284797	+	455	LmjF.02.SLRNA.0330	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0340	LmjF.02	284798	285242	+	445	LmjF.02.SLRNA.0340	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0350	LmjF.02	285243	285694	+	452	LmjF.02.SLRNA.0350	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0360	LmjF.02	285695	286149	+	455	LmjF.02.SLRNA.0360	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0370	LmjF.02	286150	286604	+	455	LmjF.02.SLRNA.0370	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0380	LmjF.02	286605	287059	+	455	LmjF.02.SLRNA.0380	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0390	LmjF.02	287060	287517	+	458	LmjF.02.SLRNA.0390	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0400	LmjF.02	287518	287967	+	450	LmjF.02.SLRNA.0400	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0410	LmjF.02	287968	288416	+	449	LmjF.02.SLRNA.0410	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0420	LmjF.02	288417	288874	+	458	LmjF.02.SLRNA.0420	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0430	LmjF.02	288875	289323	+	449	LmjF.02.SLRNA.0430	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0440	LmjF.02	289324	289772	+	449	LmjF.02.SLRNA.0440	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0450	LmjF.02	289773	290227	+	455	LmjF.02.SLRNA.0450	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0460	LmjF.02	290228	290681	+	454	LmjF.02.SLRNA.0460	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0470	LmjF.02	290682	291129	+	448	LmjF.02.SLRNA.0470	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0480	LmjF.02	291130	291583	+	454	LmjF.02.SLRNA.0480	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0490	LmjF.02	291584	292032	+	449	LmjF.02.SLRNA.0490	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0500	LmjF.02	292033	292478	+	446	LmjF.02.SLRNA.0500	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0510	LmjF.02	292479	292936	+	458	LmjF.02.SLRNA.0510	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0520	LmjF.02	292937	293378	+	442	LmjF.02.SLRNA.0520	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0530	LmjF.02	293379	293833	+	455	LmjF.02.SLRNA.0530	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0540	LmjF.02	293834	294288	+	455	LmjF.02.SLRNA.0540	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0550	LmjF.02	294289	294737	+	449	LmjF.02.SLRNA.0550	-	ncRNA	spliced leader RNA
LmjF.02.SLRNA.0560	LmjF.02	294738	295183	+	446	LmjF.02.SLRNA.0560	-	ncRNA	spliced leader RNA
